FamilyName,CommonName,LatinName,Review,Evidence,
Ducks, Geese, and Swans (Anatidae),Black-bellied Whistling-Duck,Dendrocygna autumnalis,X,P,
Ducks, Geese, and Swans (Anatidae),Fulvous Whistling-Duck,Dendrocygna bicolor,X,P,
Ducks, Geese, and Swans (Anatidae),Snow Goose,Anser caerulescens,,S,
Ducks, Geese, and Swans (Anatidae),Ross's Goose,Anser rossii,,S,
Ducks, Geese, and Swans (Anatidae),Greater White-fronted Goose,Anser albifrons,,S,
Ducks, Geese, and Swans (Anatidae),Pink-footed Goose,Anser brachyrhynchus,X,P,
Ducks, Geese, and Swans (Anatidae),Brant,Branta bernicla,X,P,
Ducks, Geese, and Swans (Anatidae),Barnacle Goose,Branta leucopsis,X,P,
Ducks, Geese, and Swans (Anatidae),Cackling Goose,Branta hutchinsii,,P,
Ducks, Geese, and Swans (Anatidae),Canada Goose,Branta canadensis,,S,
Ducks, Geese, and Swans (Anatidae),Trumpeter Swan,Cygnus buccinator,,S,
Ducks, Geese, and Swans (Anatidae),Tundra Swan,Cygnus columbianus,,S,
Ducks, Geese, and Swans (Anatidae),Wood Duck,Aix sponsa,,S,
Ducks, Geese, and Swans (Anatidae),Garganey,Spatula querquedula,X,P,
Ducks, Geese, and Swans (Anatidae),Blue-winged Teal,Spatula discors,,S,
Ducks, Geese, and Swans (Anatidae),Cinnamon Teal,Spatula cyanoptera,,S,
Ducks, Geese, and Swans (Anatidae),Northern Shoveler,Spatula clypeata,,S,
Ducks, Geese, and Swans (Anatidae),Gadwall,Mareca strepera,,S,
Ducks, Geese, and Swans (Anatidae),Eurasian Wigeon,Mareca penelope,,P,
Ducks, Geese, and Swans (Anatidae),American Wigeon,Mareca americana,,S,
Ducks, Geese, and Swans (Anatidae),Mallard,Anas platyrhynchos,,S,
Ducks, Geese, and Swans (Anatidae),Mexican Duck,Anas diazi,X,S,
Ducks, Geese, and Swans (Anatidae),American Black Duck,Anas rubripes,X,S,
Ducks, Geese, and Swans (Anatidae),Mottled Duck,Anas fulvigula,X,S,
Ducks, Geese, and Swans (Anatidae),Northern Pintail,Anas acuta,,S,
Ducks, Geese, and Swans (Anatidae),Green-winged Teal,Anas crecca,,S,
Ducks, Geese, and Swans (Anatidae),Canvasback,Aythya valisineria,,S,
Ducks, Geese, and Swans (Anatidae),Redhead,Aythya americana,,S,
Ducks, Geese, and Swans (Anatidae),Ring-necked Duck,Aythya collaris,,S,
Ducks, Geese, and Swans (Anatidae),Tufted Duck,Aythya fuligula,X,P,
Ducks, Geese, and Swans (Anatidae),Greater Scaup,Aythya marila,,S,
